,Longitude,Latitude,MRT_Station
0,103.909146276263,1.33492189034272,Kaki Bukit MRT Station
1,103.933487189855,1.33655490332863,Bedok Reservoir MRT Station
2,103.849271703873,1.29769911765443,Bencoolen MRT Station
3,103.850843384717,1.29919519603019,Bencoolen MRT Station
4,103.909405098626,1.33531120636956,Kaki Bukit MRT Station
5,103.938948503782,1.34499919751448,Tampines West MRT Station
6,103.855296125414,1.30488989412929,Jalan Besar MRT Station
7,103.863074005937,1.31385250562225,Bendemeer MRT Station
8,103.917810526029,1.33442257655151,Bedok North MRT Station
9,103.961043080709,1.34084047406433,Upper Changi MRT Station
10,103.871794271427,1.32110911579532,Geylang Bahru MRT Station
11,103.943678182032,1.35487057481792,Tampines MRT Station
12,103.942723496695,1.35459633872811,Tampines MRT Station
13,103.932886822506,1.33634776089978,Bedok Reservoir MRT Station
14,103.762325766572,1.3828754471752,Senja Lrt Station
15,103.834865533461,1.42963629191008,Yishun MRT Station
16,103.835643654933,1.42966559716462,Yishun MRT Station
17,103.872866695396,1.35079019941389,Serangoon MRT Station
18,103.873641321904,1.34983373825613,Serangoon MRT Station
19,103.872902116341,1.3508202454304,Serangoon MRT Station
20,103.887627437262,1.33591408492645,Tai Seng MRT Station
21,103.903215186978,1.31952991880127,Eunos MRT Station
22,103.819758966004,1.44915683716069,Sembawang MRT Station
23,103.892972400972,1.37194611655273,Hougang MRT Station
24,103.989276642414,1.3563414210048,Changi Airport MRT Station
25,103.838117129674,1.28232163095245,Outram Park MRT Station
26,103.838640195189,1.2810220177189,Outram Park MRT Station
27,103.842916305543,1.28019152238094,Maxwell MRT Station
28,103.844164413475,1.28103425526259,Maxwell MRT Station
29,103.844895459262,1.28091943659091,Maxwell MRT Station
30,103.851835707382,1.27746205833565,Shenton Way MRT Station
31,103.851807978051,1.2771436461189,Shenton Way MRT Station
32,103.851034086049,1.27765594176983,Shenton Way MRT Station
33,103.850915094628,1.27700305442423,Shenton Way MRT Station
34,103.850128771071,1.27762958112669,Shenton Way MRT Station
35,103.849893223277,1.27792920509497,Shenton Way MRT Station
36,103.854470032954,1.27735303297793,Marina Bay MRT Station
37,103.854319501956,1.27469326445441,Marina Bay MRT Station
38,103.856488836263,1.27363420910955,Marina Bay MRT Station
39,103.85537174149,1.27541636589719,Marina Bay MRT Station
40,103.830496723547,1.30421797905404,Orchard MRT Station
41,103.831126574248,1.30404570543486,Orchard MRT Station
42,103.831506861841,1.30366551621641,Orchard MRT Station
43,103.83178613556,1.30344571958931,Orchard MRT Station
44,103.832124829631,1.30229921132352,Orchard MRT Station
45,103.832023815157,1.30394471745993,Orchard MRT Station
46,103.832320915154,1.30364769526593,Orchard MRT Station
47,103.826322577145,1.32093774341441,Stevens MRT Station
48,103.825882869659,1.32151990425561,Stevens MRT Station
49,103.825728378177,1.31995163510642,Stevens MRT Station
50,103.826013593581,1.31882889618825,Stevens MRT Station
51,103.824991570643,1.31947046099515,Stevens MRT Station
52,103.833839753358,1.28667674481792,Havelock MRT Station
53,103.833495118232,1.28694406698765,Havelock MRT Station
54,103.833961901637,1.28956096428231,Havelock MRT Station
55,103.834003496172,1.29016689416429,Havelock MRT Station
56,103.851802333809,1.29345482595132,City Hall MRT Station
57,103.897029921817,1.40501492486707,Soo Teck Lrt Station
58,103.897408572121,1.40524489949914,Soo Teck Lrt Station
59,103.908792226992,1.40528461343374,Damai Lrt Station
60,103.85500333792,1.27615893131623,Marina Bay MRT Station
61,103.867154122142,1.27830343996812,Gardens By The Bay MRT Station
62,103.867968767276,1.27882622333397,Gardens By The Bay MRT Station
63,103.868586734111,1.28037075595564,Gardens By The Bay MRT Station
64,103.861503878728,1.27357480448593,Marina South MRT Station
65,103.861777210111,1.27385994951971,Marina South MRT Station
66,103.862894304629,1.27313520508679,Marina South MRT Station
67,103.862668508874,1.27551141461164,Marina South MRT Station
68,103.823637898436,1.30362395339039,Orchard Boulevard MRT Station
69,103.82389561212,1.30246332428451,Orchard Boulevard MRT Station
70,103.833405504371,1.29655259456474,Great World MRT Station
71,103.833904631248,1.29332097607264,Great World MRT Station
72,103.832627103189,1.2928694999213,Great World MRT Station
73,103.832841014649,1.29318434464758,Great World MRT Station
74,103.832734059176,1.29381997655443,Great World MRT Station
75,103.833037100577,1.29602983278925,Great World MRT Station
76,103.833369520278,1.28884356335354,Havelock MRT Station
77,103.819483777776,1.30693598792234,Napier MRT Station
78,103.819506621185,1.3063449793684,Napier MRT Station
79,103.830663098953,1.30285761474898,Orchard MRT Station
80,103.912646133061,1.40250713144757,Oasis Lrt Station
81,103.916387458482,1.39980926315018,Kadaloor Lrt Station
82,103.908965833187,1.39668105013866,Meridian Lrt Station
83,103.908869496154,1.39712168979943,Meridian Lrt Station
84,103.905928735776,1.399124393509,Cove Lrt Station
85,103.74510113108,1.38031765699103,South View Lrt Station
86,103.79576910839,1.31106948365962,Holland Village MRT Station
87,103.787927806168,1.30035949347946,One-North MRT Station
88,103.83978923248,1.28099327615611,Outram Park MRT Station
89,103.778304715288,1.31141543344877,Dover MRT Station
90,103.778464771304,1.31169319167964,Dover MRT Station
91,103.705650038035,1.33862950779597,Boon Lay MRT Station
92,103.7053533532,1.3385141209312,Boon Lay MRT Station
93,103.705795031365,1.33827322197702,Boon Lay MRT Station
94,103.749936955579,1.34938958776808,Bukit Batok MRT Station
95,103.678520709011,1.32750208445865,Joo Koon MRT Station
96,103.678644077077,1.32795611143786,Joo Koon MRT Station
97,103.744223583926,1.38570539067001,Choa Chu Kang MRT Station
